iter	Passed	Remaining
0	149	149374
1	150	75013
2	150	50148
3	151	37709
4	152	30249
5	152	25272
6	153	21727
7	153	19063
8	154	16989
9	155	15349
10	155	14015
11	156	12884
12	157	11924
13	157	11099
14	158	10387
15	158	9763
16	159	9212
17	159	8722
18	160	8283
19	160	7888
20	161	7530
21	162	7220
22	163	6926
23	163	6654
24	164	6401
25	164	6167
26	165	5950
27	165	5753
28	166	5566
29	166	5392
30	167	5229
31	167	5077
32	168	4933
33	168	4797
34	169	4676
35	170	4565
36	171	4456
37	172	4361
38	172	4258
39	173	4159
40	173	4064
41	174	3974
42	174	3888
43	175	3805
44	175	3726
45	176	3651
46	176	3588
47	177	3520
48	177	3453
49	178	3390
50	178	3330
51	179	3271
52	179	3214
53	180	3160
54	180	3107
55	181	3056
56	181	3007
57	182	2959
58	182	2914
59	183	2869
60	184	2832
61	184	2792
62	185	2752
63	185	2714
64	186	2676
65	186	2640
66	187	2604
67	187	2570
68	187	2536
69	188	2503
70	188	2471
71	189	2440
72	189	2410
73	190	2382
74	190	2354
75	191	2329
76	192	2302
77	192	2277
78	193	2251
79	193	2226
80	194	2201
81	194	2177
82	194	2151
83	195	2128
84	195	2106
85	196	2084
86	196	2063
87	197	2043
88	197	2023
89	198	2003
90	198	1985
91	199	1966
92	199	1948
93	200	1929
94	200	1911
95	201	1893
96	201	1876
97	202	1859
98	202	1842
99	202	1826
100	203	1810
101	203	1794
102	204	1779
103	204	1764
104	205	1749
105	205	1735
106	206	1723
107	207	1710
108	207	1696
109	207	1682
110	208	1669
111	208	1656
112	209	1643
113	209	1630
114	210	1618
115	210	1606
116	211	1593
117	211	1581
118	212	1569
119	212	1558
120	212	1546
121	213	1536
122	214	1525
123	214	1515
124	214	1504
125	215	1494
126	215	1483
127	216	1473
128	216	1463
129	217	1453
130	217	1443
131	218	1434
132	218	1424
133	219	1416
134	219	1407
135	220	1398
136	220	1391
137	221	1383
138	221	1374
139	222	1365
140	222	1357
141	223	1348
142	223	1340
143	224	1332
144	224	1324
145	225	1316
146	225	1308
147	225	1300
148	226	1292
149	226	1285
150	227	1277
151	227	1271
152	228	1264
153	228	1257
154	229	1250
155	229	1243
156	230	1236
157	230	1229
158	231	1222
159	231	1216
160	232	1209
161	232	1203
162	233	1196
163	233	1190
164	233	1183
165	234	1177
166	234	1171
167	235	1165
168	235	1159
169	236	1154
170	236	1148
171	237	1142
172	237	1136
173	238	1130
174	238	1124
175	239	1119
176	239	1113
177	239	1108
178	240	1102
179	240	1097
180	241	1092
181	241	1086
182	242	1081
183	242	1077
184	243	1072
185	243	1067
186	244	1062
187	244	1057
188	245	1052
189	245	1047
190	246	1043
191	246	1038
192	247	1033
193	247	1029
194	248	1024
195	248	1019
196	249	1015
197	249	1010
198	250	1006
199	250	1002
200	251	998
201	251	994
202	252	989
203	252	985
204	253	981
205	253	977
206	253	972
207	254	968
208	254	964
209	255	960
210	255	956
211	256	952
212	256	948
213	257	944
214	257	941
215	258	937
216	258	934
217	259	930
218	259	926
219	260	922
220	260	919
221	261	915
222	261	911
223	262	908
224	262	904
225	263	901
226	263	897
227	264	893
228	264	890
229	265	887
230	265	884
231	266	881
232	266	877
233	267	874
234	267	870
235	268	867
236	268	864
237	268	861
238	269	857
239	269	854
240	270	851
241	270	847
242	271	844
243	271	841
244	272	838
245	272	835
246	273	832
247	273	830
248	274	827
249	274	824
250	275	821
251	275	818
252	276	815
253	276	813
254	277	810
255	277	807
256	278	805
257	279	802
258	279	800
259	280	798
260	281	795
261	281	793
262	282	790
263	282	788
264	283	785
265	283	782
266	284	779
267	284	777
268	285	774
269	285	771
270	285	769
271	286	766
272	287	764
273	288	763
274	288	760
275	289	758
276	289	756
277	290	753
278	290	751
279	291	749
280	292	747
281	292	744
282	293	742
283	293	740
284	294	738
285	295	737
286	296	735
287	296	733
288	297	730
289	297	728
290	298	726
291	298	723
292	299	721
293	299	719
294	300	717
295	300	715
296	301	713
297	301	710
298	302	709
299	303	707
300	303	704
301	304	702
302	304	700
303	304	698
304	305	696
305	305	693
306	306	691
307	306	689
308	307	687
309	307	684
310	308	682
311	308	680
312	309	678
313	309	676
314	310	674
315	310	672
316	311	670
317	311	668
318	312	666
319	312	664
320	313	662
321	313	660
322	314	658
323	314	656
324	315	654
325	315	652
326	316	650
327	316	648
328	317	647
329	317	645
330	318	643
331	318	641
332	319	639
333	319	637
334	320	635
335	320	633
336	321	631
337	321	629
338	322	628
339	322	626
340	323	624
341	323	622
342	323	620
343	324	619
344	325	617
345	325	615
346	326	613
347	326	611
348	327	610
349	327	608
350	328	607
351	328	605
352	329	603
353	329	601
354	330	600
355	330	598
356	331	596
357	332	595
358	332	593
359	333	592
360	333	590
361	334	588
362	334	587
363	335	585
364	335	583
365	335	581
366	336	580
367	336	578
368	337	576
369	337	575
370	338	573
371	338	571
372	339	570
373	340	569
374	340	567
375	341	566
376	341	564
377	342	563
378	342	561
379	343	559
380	343	558
381	344	556
382	344	555
383	345	553
384	345	551
385	345	550
386	346	548
387	347	547
388	347	546
389	348	544
390	348	542
391	349	541
392	349	539
393	349	538
394	350	536
395	350	535
396	351	533
397	351	532
398	352	530
399	352	529
400	353	527
401	353	526
402	354	525
403	355	523
404	355	522
405	355	520
406	356	519
407	356	517
408	357	516
409	357	514
410	358	513
411	358	512
412	359	510
413	359	509
414	360	507
415	360	506
416	361	504
417	361	503
418	362	502
419	362	501
420	363	499
421	363	498
422	364	496
423	364	495
424	365	494
425	365	492
426	366	491
427	366	489
428	366	488
429	367	487
430	368	485
431	368	484
432	369	483
433	369	482
434	370	481
435	371	480
436	371	479
437	372	477
438	372	476
439	373	475
440	373	473
441	374	472
442	374	471
443	375	470
444	375	468
445	376	467
446	377	466
447	377	465
448	378	464
449	379	463
450	379	462
451	380	460
452	380	459
453	381	458
454	382	457
455	382	456
456	383	455
457	383	453
458	384	453
459	385	452
460	385	450
461	386	449
462	386	448
463	387	447
464	387	445
465	388	444
466	388	443
467	389	442
468	389	441
469	390	439
470	390	438
471	390	437
472	391	436
473	392	435
474	392	434
475	393	432
476	393	431
477	394	430
478	394	429
479	395	427
480	395	426
481	396	425
482	396	424
483	397	423
484	397	422
485	398	421
486	398	419
487	399	418
488	399	417
489	400	416
490	400	415
491	401	414
492	401	413
493	402	412
494	402	410
495	403	409
496	403	408
497	404	407
498	404	406
499	405	405
500	405	403
501	406	402
502	406	401
503	407	400
504	407	399
505	408	398
506	408	397
507	409	396
508	409	395
509	410	394
510	410	393
511	411	391
512	411	390
513	412	389
514	412	388
515	413	387
516	414	386
517	414	385
518	415	384
519	415	383
520	416	382
521	416	381
522	417	380
523	417	379
524	417	378
525	418	377
526	418	375
527	419	374
528	419	373
529	420	372
530	420	371
531	421	370
532	422	369
533	422	368
534	423	367
535	423	366
536	424	365
537	424	364
538	425	363
539	425	362
540	425	361
541	426	360
542	426	359
543	427	358
544	427	357
545	428	356
546	428	355
547	429	354
548	429	353
549	430	352
550	430	351
551	431	350
552	431	349
553	432	347
554	432	346
555	433	345
556	433	344
557	434	343
558	434	342
559	434	341
560	435	340
561	436	340
562	436	339
563	437	338
564	438	337
565	438	336
566	439	335
567	439	334
568	439	333
569	440	332
570	440	331
571	441	330
572	441	329
573	442	328
574	442	327
575	443	326
576	444	325
577	444	324
578	444	323
579	445	322
580	445	321
581	446	320
582	446	319
583	447	318
584	447	317
585	448	316
586	448	315
587	449	314
588	449	313
589	450	312
590	450	311
591	451	311
592	451	310
593	452	309
594	452	308
595	453	307
596	453	306
597	454	305
598	454	304
599	455	303
600	455	302
601	456	301
602	456	300
603	456	299
604	457	298
605	457	297
606	458	296
607	459	295
608	459	295
609	459	294
610	460	293
611	460	292
612	461	291
613	462	290
614	462	289
615	463	288
616	463	287
617	464	286
618	464	285
619	464	284
620	465	284
621	466	283
622	466	282
623	467	281
624	467	280
625	468	279
626	468	278
627	469	277
628	469	277
629	470	276
630	470	275
631	471	274
632	471	273
633	472	272
634	472	271
635	473	270
636	473	269
637	474	269
638	474	268
639	475	267
640	475	266
641	475	265
642	476	264
643	476	263
644	477	262
645	477	261
646	478	261
647	478	260
648	479	259
649	479	258
650	480	257
651	480	256
652	481	255
653	481	254
654	482	254
655	482	253
656	483	252
657	483	251
658	484	250
659	484	249
660	485	248
661	485	247
662	486	247
663	486	246
664	487	245
665	487	244
666	488	243
667	488	242
668	489	242
669	489	241
670	490	240
671	490	239
672	491	238
673	491	237
674	492	237
675	492	236
676	493	235
677	493	234
678	494	233
679	494	232
680	495	232
681	496	231
682	496	230
683	497	229
684	497	228
685	498	228
686	498	227
687	499	226
688	499	225
689	500	224
690	500	223
691	501	223
692	501	222
693	502	221
694	502	220
695	503	219
696	504	219
697	504	218
698	505	217
699	505	216
700	506	215
701	506	215
702	507	214
703	507	213
704	508	212
705	508	211
706	509	210
707	509	210
708	510	209
709	510	208
710	511	207
711	511	206
712	512	206
713	512	205
714	513	204
715	513	203
716	514	202
717	514	202
718	515	201
719	515	200
720	515	199
721	516	198
722	516	198
723	517	197
724	518	196
725	518	195
726	519	195
727	519	194
728	520	193
729	520	192
730	521	191
731	521	190
732	522	190
733	522	189
734	522	188
735	523	187
736	523	186
737	524	186
738	524	185
739	525	184
740	526	183
741	526	183
742	526	182
743	527	181
744	527	180
745	528	179
746	528	179
747	529	178
748	529	177
749	530	176
750	530	175
751	531	175
752	531	174
753	532	173
754	533	172
755	533	172
756	534	171
757	534	170
758	534	169
759	535	169
760	535	168
761	536	167
762	536	166
763	537	165
764	537	165
765	538	164
766	538	163
767	539	162
768	539	162
769	540	161
770	540	160
771	541	159
772	541	159
773	542	158
774	542	157
775	543	156
776	543	156
777	544	155
778	544	154
779	545	153
780	545	153
781	546	152
782	546	151
783	547	150
784	547	150
785	548	149
786	548	148
787	549	147
788	549	147
789	550	146
790	550	145
791	551	144
792	551	143
793	551	143
794	552	142
795	552	141
796	553	140
797	553	140
798	554	139
799	554	138
800	555	138
801	556	137
802	556	136
803	556	135
804	557	135
805	557	134
806	558	133
807	558	132
808	559	132
809	559	131
810	560	130
811	561	129
812	561	129
813	561	128
814	562	127
815	563	126
816	563	126
817	564	125
818	564	124
819	565	124
820	565	123
821	566	122
822	566	121
823	567	121
824	567	120
825	568	119
826	568	118
827	568	118
828	569	117
829	570	116
830	570	116
831	571	115
832	571	114
833	572	113
834	572	113
835	573	112
836	573	111
837	573	110
838	574	110
839	574	109
840	575	108
841	575	108
842	576	107
843	576	106
844	577	105
845	577	105
846	578	104
847	578	103
848	579	103
849	579	102
850	580	101
851	580	100
852	581	100
853	581	99
854	582	98
855	582	98
856	583	97
857	583	96
858	584	95
859	584	95
860	585	94
861	585	93
862	586	93
863	586	92
864	587	91
865	587	90
866	588	90
867	588	89
868	589	88
869	589	88
870	590	87
871	590	86
872	590	85
873	591	85
874	591	84
875	592	83
876	593	83
877	593	82
878	594	81
879	594	81
880	594	80
881	595	79
882	595	78
883	596	78
884	596	77
885	597	76
886	597	76
887	598	75
888	598	74
889	599	74
890	599	73
891	600	72
892	600	71
893	601	71
894	601	70
895	602	69
896	602	69
897	603	68
898	603	67
899	604	67
900	604	66
901	605	65
902	605	65
903	606	64
904	606	63
905	607	62
906	607	62
907	608	61
908	608	60
909	609	60
910	609	59
911	610	58
912	610	58
913	610	57
914	611	56
915	611	56
916	612	55
917	612	54
918	613	54
919	613	53
920	614	52
921	615	52
922	615	51
923	616	50
924	616	50
925	617	49
926	617	48
927	618	47
928	618	47
929	619	46
930	619	45
931	620	45
932	620	44
933	621	43
934	621	43
935	622	42
936	622	41
937	623	41
938	624	40
939	624	39
940	625	39
941	625	38
942	626	37
943	626	37
944	627	36
945	627	35
946	628	35
947	628	34
948	629	33
949	630	33
950	630	32
951	631	31
952	631	31
953	632	30
954	632	29
955	633	29
956	633	28
957	634	27
958	634	27
959	635	26
960	635	25
961	636	25
962	637	24
963	637	23
964	638	23
965	638	22
966	639	21
967	639	21
968	640	20
969	641	19
970	641	19
971	642	18
972	642	17
973	643	17
974	643	16
975	645	15
976	645	15
977	646	14
978	646	13
979	647	13
980	647	12
981	647	11
982	648	11
983	648	10
984	649	9
985	649	9
986	650	8
987	650	7
988	651	7
989	652	6
990	652	5
991	653	5
992	653	4
993	654	3
994	655	3
995	655	2
996	656	1
997	656	1
998	656	0
999	657	0
